customer_id,customer_name,email,phone,gender,city,state,country,registration_date,customer_type
CUST00001, Allison Hill ,donaldgarcia@example.net,+1-219-560-0133,Other,Robinsonshire,Louisiana,Sudan,2021-01-21,REGULAR
CUST00002,Caitlin Henderson,eric51@example.org,(615)759-4078x1618,Male,Lake Chad,Texas,Denmark,2023-06-19,REGULAR
CUST00003, Dr. Sharon James ,xreid@example.org,(653)541-9283x276,Other,Meganton,Iowa,Swaziland,2021-04-10,REGULAR
CUST00004,Jennifer Jones,jason76@example.net,724.523.8849x696,Male,New Trevor,Wisconsin,Australia,2021-12-07,REGULAR
CUST00005,CHRISTOPHER BECKER,cruzcaitlin@example.com,648.401.8451x46270,Male,Port Colleenhaven,Rhode Island,Congo,2022-04-20,REGULAR
CUST00006, CHRISTOPHER ASHLEY ,georgetracy@example.org,(443)903-9117x182,Female,West Allison,Rhode Island,Jamaica,2022-10-21,REGULAR
CUST00007,nicole vaughn,raymond57@example.net,213.331.5098x393,Male,East Carloston,Michigan,Barbados,2025-05-17,REGULAR
CUST00008, MICHAEL LEWIS ,jenniferkhan@example.net,337.263.1165x6670,Female,Chandlerville,Kansas,Congo,2022-08-14,REGULAR
CUST00009,Brenda White,ewright@example.com,+1-910-980-1326,Other,Port Richard,Arkansas,Chad,2024-03-23,VIP
CUST00010,James House,smitchell@example.net,+1-272-734-3098,Male,North Breannahaven,North Dakota,Cayman Islands,2021-06-26,REGULAR
CUST00011,angela lopez,leonardjoe@example.org,001-739-690-9169,Male,Lake Jennifer,Kansas,Estonia,2024-05-14,REGULAR
CUST00012,MATTHEW BRYANT,smithchristine@example.net,518-738-4251,Other,Ericside,Virginia,Gabon,2021-01-25,REGULAR
CUST00013,Kristen Huynh,mcmillandennis@example.org,682-944-9353,Female,Rebeccaton,Colorado,North Macedonia,2024-08-09,REGULAR
CUST00014,Amanda Cook,danagreen@example.net,486.880.1128x059,Other,North Kyle,Arizona,United Arab Emirates,2024-01-17,REGULAR
CUST00015,david garcia,vdickson@example.org,622.460.2563,Male,South Monicafort,Iowa,Cook Islands,2024-12-01,REGULAR
CUST00016,robert savage,andrewlee@example.com,614-258-6850x142,Female,New Ryanmouth,Nevada,New Caledonia,2025-05-08,REGULAR
CUST00017,Steven Lee,fletcheraaronexample.net.invalid,+1-835-661-5951x48465,Other,East Robert,Missouri,Philippines,2022-06-25,PREMIUM
CUST00018,Elizabeth Kelley,torresjason@example.net,+1-757-377-3872x148,Male,Lake Lance,Illinois,Cameroon,2021-03-17,REGULAR
CUST00019,William Carr,gibsonolivia@example.net,567.463.2016,Male,Williamsbury,Delaware,Korea,2022-02-19,REGULAR
CUST00020,mary travis,stephanie79@example.net,968.372.7743x48734,Female,Jimmymouth,Massachusetts,Uganda,2021-09-08,PREMIUM
CUST00021,David Benson,calebrussell@example.net,Not Available,Female,Perryborough,Nebraska,Iceland,2021-03-02,REGULAR
CUST00022,PAMELA JAMES,benderkenneth@example.com,(488)993-7346x70656,Male,New Amanda,Montana,Nauru,2021-03-26,PREMIUM
CUST00023, Jeffrey Camacho ,brentgray@example.org,755.564.6417x080,Other, Port Susanton,Wisconsin,Antarctica (the territory South of 60 deg S),2023-02-08,PREMIUM
CUST00024,ALEX HERNANDEZ,thomaswilson@example.org,645.829.9124x190,Female,Davidborough,California,Nauru,2023-01-25,VIP
CUST00025,Raymond Jefferson,hoganashlee@example.org,(786)951-8506x716,Female,South Gregory,North Dakota,Pakistan,2023-04-20,VIP
CUST00026,Tamara Hampton,ugraham@example.net,253-914-7379x965,Male,Hunterborough,Minnesota,South Georgia and the South Sandwich Islands,2023-03-14,REGULAR
CUST00027,spencer haynes,angela83example.org.invalid,367.683.7770,Male,South Heather,Maryland,Panama,2024-02-21,REGULAR
CUST00028,Joseph Coleman,michael74@example.com,631-335-1823x374,Other,West Jeremy,Idaho,Gabon,2021-02-13,REGULAR
CUST00029,Beth Williams,tranheidi@example.org,+1-971-309-4777x5204,Male,South Travisshire,South Dakota,Poland,2021-06-16,PREMIUM
CUST00030,Robert Avery,mcknightdavid@example.com,+1-299-338-6774x964,Female,Lake Jason,Texas,Belgium,2022-05-03,REGULAR
CUST00031, Juan Moore ,mhayes@example.com,503-444-7134x9361,Male,Margaretland,Arkansas,Chad,2023-08-14,REGULAR
CUST00032,samantha morse,smartinez@example.com,001-664-288-7719x065,Female,East Suzanneshire,Pennsylvania,Zambia,2021-03-06,REGULAR
CUST00033,Miss Debra Williams PhD,cstone@example.com,(796)371-7565,Other, West Robert,New York,France,2024-05-29,REGULAR
CUST00034,Krista Gibson,johnny16example.net.invalid,9879603859,Male,East Josephberg,Maine,Kazakhstan,2025-02-14,REGULAR
CUST00035,William Lynch,jennifercollins@example.org,+1-661-631-7127,Female,Davenportfort,Kansas,Korea,2022-03-26,REGULAR
CUST00036,thomas romero,michellehill@example.com,784-804-4997x27875,Other,Cantuborough,Vermont,Dominican Republic,2024-04-04,VIP
CUST00037,Reginald Williams,zthornton@example.com,(227)402-8951x7187,Male,Pittsberg,California,Latvia,2023-04-04,REGULAR
CUST00038,Michael Santos,melissa86@example.com,+1-978-409-1343x1611,Other,Rebeccaton,Massachusetts,South Africa,2021-06-24,VIP
CUST00039, James Thomas ,yknight@example.org,(421)596-9379,Male,Littlemouth,Kentucky,Papua New Guinea,2021-01-30,REGULAR
CUST00040,Julie Roberts,charleslandry@example.net,664-674-3671x3695,Male,Port Dominiqueview,Alabama,Mongolia,2021-06-02,REGULAR
CUST00041,NATASHA WALL,kimberly39@example.com,239.742.1047,Female,North Renee,Massachusetts,San Marino,2024-07-14,REGULAR
CUST00042,Carlos Ryan,alyssa42@example.com,245.617.1236x8516,Female,South Miguelview,Pennsylvania,Hong Kong,2024-02-29,REGULAR
CUST00043,David Johnson,rose31example.net.invalid,446.812.0047x113,Other,Watsonside,Nebraska,Namibia,2022-04-26,VIP
CUST00044,MARY BASS,rcrosby@example.org,001-853-677-3515x850,Male,North Stacy,New Jersey,Bermuda,2022-10-21,REGULAR
CUST00045,linda smith,john29@example.org,283-693-3529,Other,East Amber,Idaho,Bouvet Island (Bouvetoya),2021-03-22,REGULAR
CUST00046,Hunter Kramer,alfred40@example.org,001-568-211-7758x9178,Male,Stephentown,Arkansas,Lesotho,2024-06-01,REGULAR
CUST00047,Brian Joseph,fjones@example.com,+1-621-924-9985x698,Male,Garciaville,Tennessee,Pakistan,2022-10-31,PREMIUM
CUST00048,stephen gutierrez,uross@example.org,465-245-2711x11615,Male,Elizabethchester,Minnesota,Tunisia,2024-08-07,REGULAR
CUST00049,Michelle Schmitt,michael98example.org.invalid,(573)815-8514,Other,New Sarahview,Alaska,Cocos (Keeling) Islands,2023-04-30,VIP
CUST00050,ELLEN MORGAN,whitedouglas@example.net,(612)701-8366x7525,Other,North Ericton,Utah,Belgium,2023-04-26,VIP
CUST00051,Jeff Lawson,wnelson@example.net,256-514-9784,Male,Joyceton,Alabama,Costa Rica,2023-07-26,REGULAR
CUST00052,pamela duran,mark07@example.net,(922)368-3885x16060,Other,Barbarashire,Montana,Russian Federation,2024-07-21,REGULAR
CUST00053,jared burch,lauriemontgomery@example.net,(716)513-6968x164,Male,Kimberlyland,North Carolina,North Macedonia,2021-12-21,VIP
CUST00054,CHEYENNE PARSONS,jessica23@example.org,(943)929-2127,Male,Michellemouth,Georgia,Kazakhstan,2021-08-01,PREMIUM
CUST00055,mark hogan,bellcharles@example.com,200.954.1199x867,Female,West Cassidy,North Carolina,Canada,2021-07-12,REGULAR
CUST00056,Robert Monroe,wagnergerald@example.org,001-777-288-9255x466,Male,Cameronville,Oklahoma,Philippines,2024-04-16,PREMIUM
CUST00057,Nathaniel Douglas,mathewaguilar@example.org,(346)829-1486x528,Male,Andrewport,Idaho,Zambia,2022-10-28,REGULAR
CUST00058, RALPH LEE ,ericphillips@example.org,988.205.9296x22292,Other,Diazbury,New Hampshire,New Zealand,2023-06-05,REGULAR
CUST00059,Rachel Young,kylestokes@example.com,859.477.4688,Female,Port Cassandra,Kentucky,Austria,2025-02-02,REGULAR
CUST00060,Kristen Garcia,mitchellkathryn@example.com,782.561.3750x606,Other,Vangstad,Iowa,Antarctica (the territory South of 60 deg S),2023-09-18,PREMIUM
CUST00061,Sara Santos,devinmitchell@example.com,001-827-379-0104x328,Male,Johnville,Arkansas,Dominican Republic,2024-07-28,REGULAR
CUST00062, Lisa Brown ,bcarlson@example.net,793.324.6095x39621,Other,South Morganton,South Dakota,Iceland,2024-03-05,VIP
CUST00063,Alan Kramer,john19@example.net,001-252-605-8527x72217,Female,North Kylie,Arizona,Germany,2023-08-22,REGULAR
CUST00064,Virginia Daniels,benjamin34@example.com,001-705-641-5667x65277,Other,Lake Rogerchester,Rhode Island,Swaziland,2022-07-15,REGULAR
CUST00065,Erica Miller,kirk96@example.org,001-775-470-5964x016,Female,East Melindamouth,Arizona,Brunei Darussalam,2021-07-28,REGULAR
CUST00066,Matthew Cox,jacobserika@example.com,(271)492-8565x431,Male,Holmesside,Delaware,Estonia,2023-03-20,REGULAR
CUST00067,cindy carr,igonzalez@example.org,427.715.5188x442,Other,North Tracie,Florida,Dominica,2025-03-15,REGULAR
CUST00068,Julian Wood,cherylmiller@example.com,(778)466-9125x1778,Male,Port Tammy,Nevada,Macao,2021-06-22,REGULAR
CUST00069,Kelly Torres,marcusfletcher@example.com,441.443.8424x98182,Male,Meganshire,Arizona,Sweden,2021-03-30,REGULAR
CUST00070, TRAVIS WISE ,debra96@example.net,+1-407-984-4736x4710,Male,Washingtonborough,Michigan,New Caledonia,2022-03-23,REGULAR
CUST00071,Nathan Gross,theresa25@example.net,+1-415-337-1473,Female,West Soniachester,Kansas,Tonga,2022-05-12,REGULAR
CUST00072, Taylor Griffith ,kathrynjimenez@example.net,774.270.1687x339,Male,West Troyfort,Maine,Mauritania,2021-01-26,PREMIUM
CUST00073,jessica khan,kathryn50@example.com,9986358416,Male,East Theresafurt,Mississippi,South Africa,2023-11-20,REGULAR
CUST00074,Holly Thomas,cporter@example.org,(757)787-2982,Female,South Vicki,West Virginia,Tajikistan,2023-07-19,REGULAR
CUST00075,Katie Hicks,terickson@example.com,9556169409,Male,Lake Brett,New Mexico,Chile,2025-06-17,PREMIUM
CUST00076,Lisa Randall,lorraineallen@example.net,001-913-207-5626x368,Other,New Jared,Massachusetts,Panama,2025-01-26,REGULAR
CUST00077,EMILY THOMPSON,amy49@example.com,934.784.3443,Other,Baileyview,Maine,British Virgin Islands,2024-03-25,REGULAR
CUST00078,JENNIFER REED,kellyroberts@example.net,657-447-3384,Female,New Joycebury,Kansas,Australia,2022-12-03,REGULAR
CUST00079,Amy Gutierrez,xgarcia@example.org,6822677345,Other,Lake Audreyside,West Virginia,Saint Kitts and Nevis,2021-04-26,VIP
CUST00080,carrie khan,sarahjohnson@example.com,924.400.4991x5478,Female,Nelsonville,Michigan,Central African Republic,2024-11-26,PREMIUM
CUST00081,Michelle Smith,krystal93@example.org,+1-566-285-1612x275,Other,Patrickmouth,Wisconsin,Ethiopia,2023-10-22,PREMIUM
CUST00082,Nathan Smith,heather01@example.com,426-984-1459x3327,Female,Robertside,New Mexico,Saudi Arabia,2022-11-10,REGULAR
CUST00083,Melanie Larson,foxallison@example.com,491-408-8398,Male,Melissamouth,Delaware,Pitcairn Islands,2022-10-01,VIP
CUST00084,Katherine Nolan,dstokes@example.org,367.290.8740x64039,Male,Cooperland,Ohio,Bahamas,2021-08-03,REGULAR
CUST00085, MRS. DONNA WHITE ,katiegood@example.net,(456)576-6182x51286,Female,Port Andrewport,New Jersey,Peru,2024-08-10,REGULAR
CUST00086,Samantha Wright,eric31@example.org,+1-269-803-3119x07903,Male,Youngborough,Wisconsin,Tonga,2021-06-25,REGULAR
CUST00087, Wyatt Young ,barbara53@example.com,(483)864-4089,Male,Williamsstad,Tennessee,Paraguay,2024-03-30,PREMIUM
CUST00088,Emma Butler,kevinwhite@example.net,833.542.7086x6882,Male,Jamesland,New Hampshire,Tanzania,2024-02-27,REGULAR
CUST00089,NATHANIEL LEE,nicholas99@example.org,239-583-7354,Female,Lake David,Wisconsin,Lesotho,2023-01-24,PREMIUM
